anfrage;kategorie
Es liegt überall Müll herum – niemand holt ihn ab.;Abfall
Meine Mülltonne wurde nicht geleert.;Abfall
Ich finde nirgendwo Infos zur Müllentsorgung.;Abfall
Seit Tagen liegt Sperrmüll vor dem Haus.;Abfall
Der Wertstoffhof hat komische Öffnungszeiten.;Abfall
Die Müllabfuhr hat unsere Straße ausgelassen.;Abfall
Die Tonne wurde umgekippt und nicht aufgestellt.;Abfall
Wann wird der Müll endlich abgeholt?;Abfall
Kann man zusätzliche Mülltonnen beantragen?;Abfall
Ich habe alte Möbel – wohin damit?;Abfall
Die Mülltonne wurde gestohlen.;Abfall
Der Glascontainer ist voll bis obenhin.;Abfall
Ich finde den Recyclingplan nicht.;Abfall
Warum gibt es keine Mülltrennung bei uns?;Abfall
Wie bestelle ich eine neue gelbe Tonne?;Abfall
Bioabfall wurde nicht abgeholt – wieso?;Abfall
Was kann ich tun, wenn der Müll stehen bleibt?;Abfall
Was gehört in welche Tonne?;Abfall
Ich brauche dringend neue Müllsäcke.;Abfall
Wie entsorgt man alte Elektrogeräte?;Abfall
Ich brauche eine Wohnsitzbescheinigung.;Dokumente
Wo ist das Bürgeramt in meiner Nähe?;Dokumente
Kann man Dokumente auch online beantragen?;Dokumente
Ich finde meinen Reisepass nicht mehr.;Dokumente
Ich möchte mein Kind anmelden – was brauche ich?;Dokumente
Welche Frist gilt für neue Personalausweise?;Dokumente
Wie bekomme ich eine Lebensbescheinigung?;Dokumente
Wie beantrage ich einen neuen Ausweis?;Dokumente
Wo bekomme ich eine Meldebescheinigung?;Dokumente
Was tun bei Namensänderung auf Dokumenten?;Dokumente
Ich muss eine Geburtsurkunde nachreichen.;Dokumente
Welche Unterlagen brauche ich für die Ummeldung?;Dokumente
Wie beantragt man eine eID?;Dokumente
Ich habe meinen Personalausweis verloren.;Dokumente
Ich brauche ein Führungszeugnis.;Dokumente
Kann man Formulare vorher ausfüllen?;Dokumente
Wie schnell geht ein vorläufiger Ausweis?;Dokumente
Gibt es Express-Ausweise?;Dokumente
Was kostet ein neuer Reisepass?;Dokumente
Wie verlängere ich meinen Führerschein?;Dokumente
Die Bushaltestelle ist verdreckt.;Infrastruktur
Der Spielplatz ist stark abgenutzt.;Infrastruktur
Der Gehweg ist beschädigt.;Infrastruktur
Anwohner wünschen sich Poller gegen Falschparker.;Infrastruktur
Wann wird das Schlagloch repariert?;Infrastruktur
Es fehlt ein Zebrastreifen bei der Schule.;Infrastruktur
Die öffentliche Toilette ist geschlossen.;Infrastruktur
Der Radweg ist gefährlich.;Infrastruktur
Der Brunnen im Zentrum läuft nicht mehr.;Infrastruktur
Der Park ist in sehr schlechtem Zustand.;Infrastruktur
Wer ist für Laternen zuständig?;Infrastruktur
Die Ampel funktioniert nicht richtig.;Infrastruktur
Die Ampelschaltung ist zu kurz.;Infrastruktur
Die Bordsteine sind zu hoch für Rollatoren.;Infrastruktur
Die Straßenlaterne ist kaputt.;Infrastruktur
Die Straße ist unbeleuchtet.;Infrastruktur
Was ist mit der Brückensanierung?;Infrastruktur
Die Brücke sieht gefährlich aus.;Infrastruktur
Ich wünsche mir mehr Sitzbänke.;Infrastruktur
An der Ecke fehlt ein Straßenschild.;Infrastruktur
Wie melde ich ein Knöllchen an?;Verkehr
Kann ich ein Carsharing-Auto melden?;Verkehr
Wie beantragt man eine Halteverbotszone?;Verkehr
Der Straßenverkehr ist zu laut.;Verkehr
Wie lange darf ein Auto ohne TÜV stehen?;Verkehr
Ich finde keinen Parkplatz in meiner Straße.;Verkehr
Gibt es Tempo-30-Zonen bei Schulen?;Verkehr
Wie läuft die Beschilderung bei Umleitungen?;Verkehr
Wie beantrage ich eine Baustellenzufahrt?;Verkehr
Darf man auf dem Gehweg parken?;Verkehr
Wer ist für Baustellen zuständig?;Verkehr
Was kostet ein Parkausweis?;Verkehr
Wie lange dauert ein Umleitungsantrag?;Verkehr
Wo ist die nächste Ladestation?;Verkehr
Was gilt in Spielstraßen?;Verkehr
Darf man den Gehweg mitnutzen als Radfahrer?;Verkehr
Wie funktioniert Anwohnerparken?;Verkehr
Was tun bei Falschparkern?;Verkehr
Wieso wurde mein Auto abgeschleppt?;Verkehr
Hier wird ständig zu schnell gefahren.;Verkehr
Wer prüft die Statik?;Bau
Ich will mein Dach ausbauen.;Bau
Wie funktioniert das Genehmigungsverfahren?;Bau
Welche Unterlagen braucht man für einen Bauantrag?;Bau
Darf ich einen Carport selbst bauen?;Bau
Gibt es Förderprogramme für Altbausanierung?;Bau
Wie beantrage ich eine Baugenehmigung?;Bau
Wie weit darf ich an die Straße bauen?;Bau
Wer ist zuständig für Denkmalschutz?;Bau
Was sind die Mindestabstände zur Grundstücksgrenze?;Bau
Wie lange dauert eine Bauanzeige?;Bau
Was tun bei Nachbarschaftsklage gegen Bau?;Bau
Gibt es einen Bebauungsplan für mein Grundstück?;Bau
Welche Auflagen gelten beim Umbau?;Bau
Ich brauche eine Bauvoranfrage.;Bau
Ich möchte eine Garage bauen – was muss ich beachten?;Bau
Was kostet ein Bauantrag?;Bau
Was ist ein Bauzeitenplan?;Bau
Kann man eine Nutzungsänderung beantragen?;Bau
Was muss ich bei Solaranlagen beachten?;Bau
Was ist mit dem defekten Fahrstuhl im Rathaus?;Sonstiges
Wie kann ich mich ehrenamtlich engagieren?;Sonstiges
Was muss ich für eine Veranstaltung anmelden?;Sonstiges
Was macht die Bürgerstiftung genau?;Sonstiges
Ich habe eine Idee für die Stadtentwicklung.;Sonstiges
Gibt es einen Stadtplan in Papierform?;Sonstiges
Gibt es Angebote für Jugendliche?;Sonstiges
Ich möchte Lob äußern – wo geht das?;Sonstiges
Wie erreiche ich den Bürgerservice?;Sonstiges
Wie melde ich eine Ruhestörung?;Sonstiges
Gibt es Angebote für Senioren?;Sonstiges
Was tun bei Nachbarschaftslärm?;Sonstiges
An wen wende ich mich bei allgemeinen Fragen?;Sonstiges
Ich habe etwas verloren – wo ist das Fundbüro?;Sonstiges
Wie ist der Ablauf beim Bürgerdialog?;Sonstiges
Wie kontaktiere ich den Stadtrat?;Sonstiges
Was tun bei Problemen mit der Wasserversorgung?;Sonstiges
Wie sind die Öffnungszeiten des Bürgeramts?;Sonstiges
Wie funktioniert die Briefwahl?;Sonstiges
Wo finde ich Infos zu Förderprogrammen?;Sonstiges
